"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2022","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","47","6.5","5.6"
"2022","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","193","12.2","11.4"
"2022","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","270","14.1","14.3"
"2022","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","307","13.8","13.4"
"2022","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","312","20.6","20.9"
"2022","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","283","18.4","18.3"
"2022","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","237","23.7","23.7"
"2022","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","38","3.5","4.1"
"2022","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","102","4.8","5.3"
"2022","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","222","8.3","8.3"
"2022","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","118","7.9","7.8"
"2022","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","37","4.0","4.0"
"2022","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","38","1.6","1.6"
"2022","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","172","7.4","7.2"
"2022","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","88","5.4","5.5"
"2022","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","29","1.8","1.7"
"2022","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","96","4.2","3.9"
"2022","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","145","8.6","9.1"
"2022","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","139","6.3","6.2"
"2022","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","160","10.9","11.3"
"2022","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","104","11.5","11.1"
"2022","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","72","3.9","4.0"
"2022","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","23","1.3","1.2"
"2022","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","45","3.2","3.3"
"2022","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","22","1.8","1.9"
"2022","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","6*","0.9*","1.0*"
"2022","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","72","4.4","4.4"
"2022","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","14","2.6","3.2"
"2022","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","59","3.5","3.5"
"2022","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","125","3.5","3.4"
"2022","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","59","2.8","2.7"
"2022","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","17","2.3","3.1"
"2022","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","62","3.0","3.1"
"2022","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","39","5.1","4.7"
"2022","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","96","4.4","4.3"
"2022","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","210","8.2","7.8"
"2022","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","97","5.6","5.4"
"2022","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","66","6.7","7.7"
"2022","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","63","11.8","11.5"
"2022","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","98","9.6","8.9"
"2022","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","34","4.5","4.2"
"2022","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","46","3.0","2.8"
"2021","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","43","5.8","5.5"
"2021","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","197","12.2","11.8"
"2021","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","229","11.6","11.9"
"2021","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","281","12.3","11.8"
"2021","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","287","18.5","18.8"
"2021","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","269","17.0","17.0"
"2021","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","204","19.9","19.9"
"2021","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","14","1.3","1.4"
"2021","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","89","4.1","4.7"
"2021","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","174","6.4","6.5"
"2021","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","122","8.1","8.0"
"2021","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","33","3.5","3.7"
"2021","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","45","1.9","1.9"
"2021","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","139","5.9","5.7"
"2021","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","83","5.0","5.0"
"2021","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","22","1.3","1.2"
"2021","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","100","4.3","4.3"
"2021","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","104","6.1","6.6"
"2021","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","131","6.0","5.9"
"2021","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","132","9.1","9.3"
"2021","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","87","9.7","9.5"
"2021","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","39","2.1","2.3"
"2021","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","29","1.7","1.8"
"2021","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","49","3.6","3.6"
"2021","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","21","1.8","2.0"
