"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2021","Citywide","1","0","-","-","New York City","New York City","5,610,000","87.1 (85.9, 88.2)"
"2021","Borough","1","1","1","Bronx","Bronx","Bronx","852,000","83.1 (79.9, 85.9)"
"2021","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","1,717,000","88.6 (86.6, 90.3)"
"2021","Borough","3","1","3","Manhattan","Manhattan","Manhattan","1,197,000","89.4 (86.7, 91.7)"
"2021","Borough","4","1","4","Queens","Queens","Queens","1,520,000","85.6 (83.1, 87.8)"
"2021","Borough","5","1","5","Staten Island","Staten Island","Staten Island","325,000","89.1 (84.1, 92.7)"
"2021","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","58,000","84.3 (72.1, 91.8)"
"2021","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","137,000","84.0 (73.9, 90.7)"
"2021","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","156,000","85.3 (78.2, 90.4)"
"2021","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","184,000","83.5 (75.4, 89.3)"
"2021","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","317,000","81.3 (75.9, 85.8)"
"2021","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","100,000","92.1 (82.2, 96.7)"
"2021","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","181,000","92.7 (88.1, 95.7)"
"2021","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","223,000","87.5 (80.1, 92.5)"
"2021","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","122,000","87.7 (79.2, 93.0)"
"2021","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","74,000","83.7 (72.2, 91.0)"
"2021","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","185,000","83.8 (76.3, 89.2)"
"2021","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","201,000","88.7 (81.6, 93.3)"
"2021","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","151,000","95.8 (85.4, 98.9)"
"2021","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","140,000","86.6 (78.4, 92.1)"
"2021","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","197,000","88.5 (82.8, 92.5)"
