"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2017-21","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","3,172","8.1"
"2017-21","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","5,394","7.3"
"2017-21","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","16,030","16.9"
"2017-21","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","10,751","9.7"
"2017-21","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","10,885","14.5"
"2017-21","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","12,303","15.4"
"2017-21","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","6,898","13.5"
"2017-21","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","2,666","6.0"
"2017-21","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","6,995","6.2"
"2017-21","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","7,902","5.6"
"2017-21","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","9,508","14.1"
"2017-21","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7,825","21.3"
"2017-21","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","19,787","18.5"
"2017-21","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","9,539","8.5"
"2017-21","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","4,269","5.8"
"2017-21","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","7,613","9.8"
"2017-21","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","11,611","10.3"
"2017-21","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7,765","9.4"
"2017-21","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","9,324","9.7"
"2017-21","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","4,203","5.7"
"2017-21","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","3,544","7.5"
"2017-21","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","5,202","4.8"
"2017-21","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","4,876","4.4"
"2017-21","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","3,984","4.3"
"2017-21","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","2,761","3.7"
"2017-21","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","1,815","4.3"
"2017-21","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","4,602","5.2"
"2017-21","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","2,632","8.9"
"2017-21","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7,352","8.0"
"2017-21","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","25,680","17.3"
"2017-21","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","8,369","8.8"
"2017-21","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","1,378","4.0"
"2017-21","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","7,253","7.0"
"2017-21","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","2,746","7.8"
"2017-21","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","7,568","8.8"
"2017-21","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","10,528","10.6"
"2017-21","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","4,260","4.3"
"2017-21","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","3,883","8.7"
