"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2017-21","Borough","1","1","1","Bronx","Bronx","Bronx","379,954","26.5"
"2017-21","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","504,813","18.8"
"2017-21","Borough","3","1","3","Manhattan","Manhattan","Manhattan","252,233","15.6"
"2017-21","Borough","4","1","4","Queens","Queens","Queens","270,107","11.4"
"2017-21","Borough","5","1","5","Staten Island","Staten Island","Staten Island","50,282","10.3"
"2017-21","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","14,713","16.2"
"2017-21","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","30,694","14.8"
"2017-21","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","73,579","27.7"
"2017-21","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","61,654","20.3"
"2017-21","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","73,064","33.6"
"2017-21","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","78,111","35.8"
"2017-21","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","51,580","36.3"
"2017-21","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","18,006","17.1"
"2017-21","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","36,762","13.7"
"2017-21","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","75,561","21.6"
"2017-21","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","49,585","24.3"
"2017-21","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","24,717","20.8"
"2017-21","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","74,370","21.8"
"2017-21","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","40,259","13.3"
"2017-21","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","24,465","11.6"
"2017-21","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","30,584","14.4"
"2017-21","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","56,090","18.7"
"2017-21","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","62,519","27.1"
"2017-21","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","49,315","18.4"
"2017-21","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","42,017","23.9"
"2017-21","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","35,385","31.9"
"2017-21","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","24,913","11.0"
"2017-21","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","14,593","6.8"
"2017-21","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","18,805","11.9"
"2017-21","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","10,692","7.9"
"2017-21","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","7,386","9.4"
"2017-21","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","39,735","22.0"
"2017-21","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","5,951","9.6"
"2017-21","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","23,169","11.0"
"2017-21","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","57,605","12.5"
"2017-21","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","36,683","14.1"
"2017-21","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","7,364","7.8"
"2017-21","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","24,754","9.1"
"2017-21","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","11,542","11.5"
"2017-21","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","30,446","10.4"
"2017-21","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","38,955","12.0"
"2017-21","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","20,468","6.2"
"2017-21","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","23,622","18.0"
"2017-21","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","12,098","17.0"
"2017-21","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","16,179","13.1"
"2017-21","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","8,652","9.3"
"2017-21","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","13,353","6.7"
"2016-20","Borough","1","1","1","Bronx","Bronx","Bronx","375,410","27.0"
"2016-20","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","490,525","19.2"
"2016-20","Borough","3","1","3","Manhattan","Manhattan","Manhattan","246,300","15.6"
"2016-20","Borough","4","1","4","Queens","Queens","Queens","260,191","11.6"
"2016-20","Borough","5","1","5","Staten Island","Staten Island","Staten Island","50,804","10.8"
"2016-20","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","13,831","15.9"
"2016-20","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","30,996","15.4"
"2016-20","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","73,011","28.1"
"2016-20","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","60,021","20.1"
"2016-20","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","75,194","36.0"
"2016-20","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","76,054","35.8"
"2016-20","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","50,224","37.0"
"2016-20","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","28,887","20.5"
"2016-20","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","36,811","14.4"
"2016-20","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","73,819","22.2"
"2016-20","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","49,207","25.6"
"2016-20","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","25,384","22.2"
"2016-20","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","73,379","22.8"
"2016-20","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","40,685","14.0"
"2016-20","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","22,142","11.0"
"2016-20","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","27,229","13.5"
"2016-20","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","50,877","18.0"
"2016-20","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","62,105","28.3"
"2016-20","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","50,724","19.4"
"2016-20","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","41,631","24.0"
"2016-20","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","34,909","32.4"
"2016-20","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","23,248","10.8"
"2016-20","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","13,115","6.2"
"2016-20","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","17,561","11.4"
"2016-20","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","9,929","7.6"
