"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2017-21","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","14,791","37.7"
"2017-21","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","31,640","43.0"
"2017-21","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","8,485","8.9"
"2017-21","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","33,491","30.1"
"2017-21","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","5,253","7.0"
"2017-21","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","5,419","6.8"
"2017-21","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","4,537","8.9"
"2017-21","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7,433","16.6"
"2017-21","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","38,672","34.5"
"2017-21","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","30,475","21.5"
"2017-21","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","18,203","26.9"
"2017-21","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","9,986","27.2"
"2017-21","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","36,061","33.7"
"2017-21","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","30,967","27.5"
"2017-21","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","39,104","52.7"
"2017-21","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","31,153","40.3"
"2017-21","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","44,882","39.9"
"2017-21","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","12,506","15.1"
"2017-21","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","11,251","11.7"
"2017-21","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","10,675","14.6"
"2017-21","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","3,747","7.9"
"2017-21","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","39,042","35.8"
"2017-21","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","39,198","35.7"
"2017-21","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","23,101","24.8"
"2017-21","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","25,341","34.2"
"2017-21","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","11,158","26.6"
"2017-21","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","17,860","20.0"
"2017-21","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","7,573","25.7"
"2017-21","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","17,815","19.3"
"2017-21","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","50,576","34.0"
"2017-21","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","46,372","48.7"
"2017-21","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","24,129","69.3"
"2017-21","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","44,945","43.2"
"2017-21","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","17,795","50.3"
"2017-21","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","50,321","58.2"
"2017-21","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","49,180","49.5"
"2017-21","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","76,129","76.7"
"2017-21","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","16,662","37.3"
"2017-21","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","13,973","60.6"
"2017-21","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","24,419","53.7"
"2017-21","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","23,841","75.1"
"2017-21","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","54,202","78.2"
"2016-20","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","14,076","36.8"
"2016-20","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","32,418","44.6"
"2016-20","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","8,579","9.2"
"2016-20","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","33,238","30.1"
"2016-20","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","4,942","6.9"
"2016-20","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","4,903","6.2"
"2016-20","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","4,327","8.8"
"2016-20","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","9,642","16.4"
"2016-20","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","37,068","33.9"
"2016-20","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","30,223","21.5"
"2016-20","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","18,298","26.8"
"2016-20","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","9,638","26.2"
"2016-20","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","34,709","33.4"
"2016-20","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","30,598","27.1"
"2016-20","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","38,504","52.7"
"2016-20","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","31,073","40.7"
"2016-20","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","43,379","39.2"
"2016-20","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","11,948","14.6"
"2016-20","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","10,966","11.5"
"2016-20","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","10,083","13.8"
"2016-20","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","3,362","7.3"
"2016-20","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","37,566","35.5"
"2016-20","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","39,168","35.5"
"2016-20","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","22,995","25.2"
"2016-20","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","25,015","34.1"
"2016-20","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","10,483","25.0"
"2016-20","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","15,752","17.8"
"2016-20","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","6,959","23.9"
"2016-20","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","16,295","18.1"
"2016-20","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","49,929","34.5"
"2016-20","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","43,741","47.8"
"2016-20","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","23,592","69.9"
"2016-20","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","44,013","43.7"
"2016-20","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","16,763","49.1"
"2016-20","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","48,291","58.0"
"2016-20","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","47,356","48.9"
"2016-20","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","74,413","76.3"
"2016-20","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","16,017","37.1"
"2016-20","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","13,898","60.0"
"2016-20","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","24,459","54.6"
"2016-20","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","23,284","74.2"
"2016-20","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","53,334","78.6"
"2015-19","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","13,356","35.6"
"2015-19","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","31,826","44.4"
"2015-19","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","8,283","9.1"
"2015-19","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","32,196","29.5"
"2015-19","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","4,809","6.6"
"2015-19","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","4,631","6.0"
"2015-19","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","4,247","8.8"
"2015-19","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","9,894","17.1"
"2015-19","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","36,562","34.1"
"2015-19","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","28,662","20.8"
"2015-19","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","17,928","26.8"
"2015-19","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","9,626","26.4"
"2015-19","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","34,119","33.2"
"2015-19","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","29,827","26.8"
"2015-19","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","38,039","52.7"
"2015-19","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","30,428","39.9"
"2015-19","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","41,952","38.1"
"2015-19","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","11,595","14.5"
